product_id,product_code,barcode,product_name,category,unit,cost_price,selling_price,min_stock,image_url,active,count_status
d8b547af-8f45-4c1b-accb-40b2df796b1d,M0044,,Glenfiddich 12 YR,MAT-Singal Malt,bottle(700),"2,196.25",0,0,,TRUE,active
5063c406-df5f-4aff-9462-74eb2e268f22,M0046,,Glenfiddich 15 YR,MAT-Singal Malt,bottle(700),"3,317.79",0,0,,TRUE,active
b0386c58-419a-4d65-b89e-68cd67107c28,M0047,,Glefiddich 18 YR,MAT-Singal Malt,bottle(700),"5,369.14",0,0,,FALSE,excluded
621d2a24-c903-4682-b890-fbe87ea4bba5,M0048,,Bowmore 12 YR,MAT-Singal Malt,bottle(700),3.78,0,0,,FALSE,excluded
600848e6-9eea-472f-a61c-b48a872a1fec,M0049,,Bowmore 15 YR,MAT-Singal Malt,bottle(700),6.09,0,0,,FALSE,excluded
c6f56241-ddc8-41c6-b2b5-aed183afa50f,M0050,,Macallan 12 YR,MAT-Singal Malt,bottle(700),"5,047.00",0,0,,TRUE,active
5badb495-8d82-4873-abf5-8d91813b8176,M0051,,Macallan 15 YR,MAT-Singal Malt,bottle(700),"8,528.03",0,0,,TRUE,active
2ba6104f-20a3-42ef-869d-5ed175782860,M0052,,Macallan Sherry Oak 18 YR,MAT-Singal Malt,bottle(700),"21,521.99",0,0,,FALSE,excluded
09e966e3-58c0-4606-8e28-2377f5349747,M00543,,SINGLETON 18 YR,MAT-Singal Malt,Bottle (700MI),5.81,0,0,,FALSE,excluded
b8b4daa5-1ee6-42ff-9785-112aa36b5e51,M0154,,Laphoaig 10Y,MAT-Singal Malt,bottle(750),0,0,0,,FALSE,excluded
e4798acf-d5eb-4865-a37f-47badfb10b26,M00180,,Coconut,MAT-Soft Drink,ลูก,45,0,0,,TRUE,active
a08253a9-b330-4d44-a25a-a6b8700c1e5a,M0068,,Coke,MAT-Soft Drink,กระป๋อง (325),13.55,0,0,,TRUE,excluded
621cb717-4e53-4662-a3e5-e72e6bb43379,M0069,,Coke Zero,MAT-Soft Drink,กระป๋อง (325),14.01,0,0,,TRUE,excluded
3ce7e77a-2dbd-4db0-9a1c-82eccf2940cd,M0070,,Sprite,MAT-Soft Drink,กระป๋อง (325),13.55,0,0,,TRUE,excluded
db3585ab-4a94-4be8-b8ce-b3ab074d7208,M0071,,Ginger Ale,MAT-Soft Drink,กระป๋อง (325),14.24,0,0,,TRUE,excluded
9ee98a48-2683-4a6b-a7dc-1accc05514f7,M0072,,Soda Singha,MAT-Soft Drink,bottle(325),7.77,0,0,,TRUE,excluded
5fde696b-0bdc-4a2e-83a7-d481d3d8734d,M0073,,Schweppes Lemon Soda,MAT-Soft Drink,Can(320),14.82,0,0,,FALSE,excluded
